source_id,corpus,folder_name,material_type,clean_source_path,clean_match_confidence,duplicate_group,report_file_count,report_characters,report_lines,review_status,evidence_level,notes
B0414,book,Teun den Dekker：《Design Thinking》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Teun den Dekker：《Design Thinking》_clean.md,1.0,,12,82487,1532,machine_read_complete,V2,
B0415,book,"Thackara, John (ed.), Design After Modernism, 1988",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Thackara, John (ed.), Design After Modernism, 1988.md",1.0,,25,168466,4132,machine_read_complete,V2,
B0416,book,"The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar.md",1.0,,20,163776,4088,machine_read_complete,V2,
B0417,book,"The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York.md",1.0,,20,84610,1624,machine_read_complete,V2,
B0418,book,The design philosophy reader _ edited by Anne-Marie Willis_ -- Anne-Marie Willis,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\The design philosophy reader _ edited by Anne-Marie Willis_ -- Anne-Marie Willis.md,1.0,,18,121798,1974,machine_read_complete,V2,
B0419,book,"The designed world _ images, objects, environments -- Buchanan, Richard (editor)",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\The designed world _ images, objects, environments -- Buchanan, Richard (editor).md",1.0,,34,147829,3101,machine_read_complete,V2,
B0420,book,"The green imperative _ natural design for the real world -- Papanek, Victor J --",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\The green imperative _ natural design for the real world -- Papanek, Victor J --.md",1.0,,21,106039,2063,machine_read_complete,V2,
B0421,book,The Politics of Design： A (Not So) Global Design Manual for -- [writer and desig,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\The Politics of Design： A (Not So) Global Design Manual for -- [writer and desig.md,1.0,,13,105767,1863,machine_read_complete,V2,
B0422,book,"The printed image and the transformation of popular culture, 1790-1860 (Anderson",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\The printed image and the transformation of popular culture, 1790-1860 (Anderson.md",1.0,,16,105567,2028,machine_read_complete,V2,
B0423,book,The Sciences：《of the Artificial Simon 3rd ed》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\The Sciences：《of the Artificial Simon 3rd ed》.md,1.0,,16,100093,2167,machine_read_complete,V2,
B0424,book,Theory Culture：《and Society 23 2 3 Problematizing Global Knowledge，2006》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Theory Culture：《and Society 23 2 3 Problematizing Global Knowledge，2006》.md,1.0,,34,111379,3284,machine_read_complete,V2,
B0425,book,Thorpe：《Design with society why socially responsive design is good enough》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Thorpe：《Design with society why socially responsive design is good enough》.md,1.0,,14,111636,2208,machine_read_complete,V2,
B0426,book,Tim Brown：《Change by Design How Design Thinking Transforms Organizations and Inspires Innovation》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Tim Brown：《Change by Design How Design Thinking Transforms Organizations and Inspires Innovation》_clean.md,1.0,,18,145090,2567,machine_read_complete,V2,
B0427,book,"Tom Flynn Tim Barringer：《Colonialism and the object empire, material culture and the museum》",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Tom Flynn Tim Barringer：《Colonialism and the object empire, material culture and the museum》.md",1.0,,22,132565,2365,machine_read_complete,V2,
B0428,book,"Tom Kelley, Jonathan Littman：《The Art of Innovation》，2001",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Tom Kelley, Jonathan Littman：《The Art of Innovation》，2001_clean.md",1.0,,23,93972,1826,machine_read_complete,V2,
B0429,book,Valerie Steele：《Fashion and Eroticism Ideals of Feminine Beauty from the Victorian Era to the Jazz Age》，1985,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Valerie Steele：《Fashion and Eroticism Ideals of Feminine Beauty from the Victorian Era to the Jazz Age》，1985_clean.md,1.0,,20,106038,2003,machine_read_complete,V2,
B0430,book,Vance Packard：《The Hidden Persuaders》，1957,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Vance Packard：《The Hidden Persuaders》，1957_clean.md,1.0,,31,115750,2195,machine_read_complete,V2,
B0431,book,Vance Packard：《The Waste Makers》，1960,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Vance Packard：《The Waste Makers》，1960_clean.md,1.0,,33,154155,2614,machine_read_complete,V2,
B0432,book,"Victor Margolin：《Design discourse history, theory, criticism》",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Victor Margolin：《Design discourse history, theory, criticism》_clean.md",1.0,,12,151067,2234,machine_read_complete,V2,
B0433,book,Victor Margolin：《World History of Design World War I to World War II》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Victor Margolin：《World History of Design World War I to World War II》_clean.md,1.0,,26,108365,2087,machine_read_complete,V2,
B0434,book,Victor Papanek：《Design for the Real World Human Ecology and Social Change》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Victor Papanek：《Design for the Real World Human Ecology and Social Change》_clean.md,1.0,,20,122073,2059,machine_read_complete,V2,
B0435,book,Victor Tupitsyn：《The Museological Unconscious Communal (Post)Modernism in Russia》，2009,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Victor Tupitsyn：《The Museological Unconscious Communal (Post)Modernism in Russia》，2009_clean.md,1.0,,21,121043,2167,machine_read_complete,V2,
B0436,book,Victoria Charles：《Art Deco》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Victoria Charles：《Art Deco》_clean.md,1.0,,19,114511,1507,machine_read_complete,V2,
B0437,book,Victoria E. Bonnell：《Iconography of Power Soviet Political Posters under Lenin and Stalin》，1997,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Victoria E. Bonnell：《Iconography of Power Soviet Political Posters under Lenin and Stalin》，1997_clean.md,1.0,,14,96655,1829,machine_read_complete,V2,
B0438,book,"Walker, John A., Design History and the History of Design, 1989",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Walker, John A., Design History and the History of Design, 1989.md",1.0,,20,121827,2311,machine_read_complete,V2,
B0439,book,"Walker, John Albert; Attfield, Judy：Design History and the History of Design, 1989",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Walker, John Albert; Attfield, Judy：Design History and the History of Design, 1989_clean.md",1.0,,15,159143,2106,machine_read_complete,V2,
B0440,book,Walker：《Design History and the History of Design》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Walker：《Design History and the History of Design》.md,1.0,,20,135726,2147,machine_read_complete,V2,
B0441,book,Walker：《Sustainable by design explorations in theory and practice》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Walker：《Sustainable by design explorations in theory and practice》.md,1.0,,24,102269,2162,machine_read_complete,V2,
B0442,book,Walter Crane：《Line and Form》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Walter Crane：《Line and Form》_clean.md,1.0,,18,81935,1710,machine_read_complete,V2,
B0443,book,Walter Crane：《Of the Decorative Illustration of Books Old and New》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Walter Crane：《Of the Decorative Illustration of Books Old and New》_clean.md,1.0,,14,84149,1846,machine_read_complete,V2,
B0444,book,Walter Gropius：《The New Architecture and the Bauhaus》，1935,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Walter Gropius：《The New Architecture and the Bauhaus》，1935_clean.md,1.0,,17,84990,2340,machine_read_complete,V2,
B0445,book,Wassily Kandinsky：《Concerning the Spiritual in Art》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Wassily Kandinsky：《Concerning the Spiritual in Art》_clean.md,1.0,,18,84994,1999,machine_read_complete,V2,
B0446,book,Wassily Kandinsky：《Point and Line to Plane》，1926,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Wassily Kandinsky：《Point and Line to Plane》，1926_clean.md,1.0,,13,102807,1959,machine_read_complete,V2,
B0447,book,Wayshowing – A Guide to Environmental Signage Principles and Practices () (z-lib,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Wayshowing – A Guide to Environmental Signage Principles and Practices () (z-lib_clean.md,1.0,,14,63765,1510,machine_read_complete,V2,
B0448,book,"Weiner, Annette B.; Schneider, Jane：《Cloth and human experience》",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Weiner, Annette B.; Schneider, Jane：《Cloth and human experience》_clean.md",1.0,,20,140242,2737,machine_read_complete,V2,
B0449,book,Weisberg：《The origins of lart nouveau the Bing empire》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Weisberg：《The origins of lart nouveau the Bing empire》.md,1.0,,20,126657,2609,machine_read_complete,V2,
B0450,book,Wendy Kaplan：《The arts crafts movement in Europe America design for the modern world》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Wendy Kaplan：《The arts crafts movement in Europe America design for the modern world》_clean.md,1.0,,16,144048,2695,machine_read_complete,V2,
B0451,book,Wendy Siuyi Wong：《Hong Kong comics. A history of manhua》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Wendy Siuyi Wong：《Hong Kong comics. A history of manhua》.md,1.0,,15,72279,1405,machine_read_complete,V2,
B0452,book,Wichmann：《Japonisme the Japanese influence on Western art since 1858》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Wichmann：《Japonisme the Japanese influence on Western art since 1858》.md,1.0,,19,85844,1886,machine_read_complete,V2,
B0453,book,Wicked Problems：《in Design Thinking Buchanan，1992》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Wicked Problems：《in Design Thinking Buchanan，1992》.md,1.0,,13,79635,1691,machine_read_complete,V2,
B0454,book,Wick：《Teaching at the Bauhaus》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\Wick：《Teaching at the Bauhaus》.md,1.0,,21,169231,3311,machine_read_complete,V2,
B0455,book,William Morris：《The Ideal Book Essays and Lectures on the Arts of the Book》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\William Morris：《The Ideal Book Essays and Lectures on the Arts of the Book》_clean.md,1.0,,19,106745,2120,machine_read_complete,V2,
B0456,book,William S. Peterson：《A bibliography of the Kelmscott Press》,book_or_book_length_source,D:\Design-history-知识库\00-book_clean\William S. Peterson：《A bibliography of the Kelmscott Press》_clean.md,1.0,,18,113701,1972,machine_read_complete,V2,
B0457,book,"Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN",book_or_book_length_source,"D:\Design-history-知识库\00-book_clean\Windows and Mirrors_ Interaction Design, Digital Art, and -- JAY DAVID BOLTER AN.md",1.0,,18,117712,2497,machine_read_complete,V2,
